# step, gen_loss, dis_loss
48800,  3.490154E+00,  8.132249E-02
48900,  3.431698E+00,  9.151103E-02
49000,  3.601730E+00,  8.077039E-02
49100,  3.371690E+00,  9.642518E-02
49200,  3.751018E+00,  7.294374E-02
49300,  3.713594E+00,  6.949273E-02
49400,  3.366492E+00,  1.097541E-01
49500,  3.469320E+00,  9.041668E-02
49600,  3.751987E+00,  7.980521E-02
49700,  3.361151E+00,  1.130104E-01
49800,  3.316966E+00,  8.676358E-02
49900,  3.932814E+00,  6.393777E-02
50000,  3.547081E+00,  1.061293E-01
